"TIME","GEO","INFOTYPE","COICOP","Value","Flag and Footnotes"
"2001","European Union (EU6-1972, EU9-1980, EU10-1985, EU12-1994, EU15-2004, EU25-2006, EU27)","Annual average index","All-items HICP","92,19",""
"2002","European Union (EU6-1972, EU9-1980, EU10-1985, EU12-1994, EU15-2004, EU25-2006, EU27)","Annual average index","All-items HICP","94,11",""
"2003","European Union (EU6-1972, EU9-1980, EU10-1985, EU12-1994, EU15-2004, EU25-2006, EU27)","Annual average index","All-items HICP","95,95",""
"2004","European Union (EU6-1972, EU9-1980, EU10-1985, EU12-1994, EU15-2004, EU25-2006, EU27)","Annual average index","All-items HICP","97,88",""
"2005","European Union (EU6-1972, EU9-1980, EU10-1985, EU12-1994, EU15-2004, EU25-2006, EU27)","Annual average index","All-items HICP","100,00",""
"2006","European Union (EU6-1972, EU9-1980, EU10-1985, EU12-1994, EU15-2004, EU25-2006, EU27)","Annual average index","All-items HICP","102,20",""
"2007","European Union (EU6-1972, EU9-1980, EU10-1985, EU12-1994, EU15-2004, EU25-2006, EU27)","Annual average index","All-items HICP","104,59",""
"2008","European Union (EU6-1972, EU9-1980, EU10-1985, EU12-1994, EU15-2004, EU25-2006, EU27)","Annual average index","All-items HICP","108,42",""
"2009","European Union (EU6-1972, EU9-1980, EU10-1985, EU12-1994, EU15-2004, EU25-2006, EU27)","Annual average index","All-items HICP","109,49",""
"2010","European Union (EU6-1972, EU9-1980, EU10-1985, EU12-1994, EU15-2004, EU25-2006, EU27)","Annual average index","All-items HICP","111,77",""
"2001","European Union (27 countries)","Annual average index","All-items HICP","91,28","i"
"2002","European Union (27 countries)","Annual average index","All-items HICP","93,58","i"
"2003","European Union (27 countries)","Annual average index","All-items HICP","95,59","i"
"2004","European Union (27 countries)","Annual average index","All-items HICP","97,77","i"
"2005","European Union (27 countries)","Annual average index","All-items HICP","100,00",""
"2006","European Union (27 countries)","Annual average index","All-items HICP","102,31",""
"2007","European Union (27 countries)","Annual average index","All-items HICP","104,73",""
"2008","European Union (27 countries)","Annual average index","All-items HICP","108,56",""
"2009","European Union (27 countries)","Annual average index","All-items HICP","109,63",""
"2010","European Union (27 countries)","Annual average index","All-items HICP","111,91",""
"2001","European Union (25 countries)","Annual average index","All-items HICP","92,04",""
"2002","European Union (25 countries)","Annual average index","All-items HICP","94,00",""
"2003","European Union (25 countries)","Annual average index","All-items HICP","95,83",""
"2004","European Union (25 countries)","Annual average index","All-items HICP","97,88",""
